Location,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area,Region,longitude,latitude
Andhra Pradesh,31-05-2019,Monthly,3.65,11999139,43.24,Rural,South,15.9129,79.74
Andhra Pradesh,30-06-2019,Monthly,3.05,11755881,42.05,Rural,South,15.9129,79.74
Andhra Pradesh,31-07-2019,Monthly,3.75,12086707,43.5,Rural,South,15.9129,79.74
Andhra Pradesh,31-08-2019,Monthly,3.32,12285693,43.97,Rural,South,15.9129,79.74
Andhra Pradesh,30-09-2019,Monthly,5.17,12256762,44.68,Rural,South,15.9129,79.74
Andhra Pradesh,31-10-2019,Monthly,3.52,12017412,43.01,Rural,South,15.9129,79.74
Andhra Pradesh,30-11-2019,Monthly,4.12,11397681,41,Rural,South,15.9129,79.74
Andhra Pradesh,31-12-2019,Monthly,4.38,12528395,45.14,Rural,South,15.9129,79.74
Andhra Pradesh,31-01-2020,Monthly,4.84,12016676,43.46,Rural,South,15.9129,79.74
Andhra Pradesh,29-02-2020,Monthly,5.91,11723617,42.83,Rural,South,15.9129,79.74
Andhra Pradesh,31-03-2020,Monthly,4.06,11359660,40.66,Rural,South,15.9129,79.74
Andhra Pradesh,30-04-2020,Monthly,16.29,8792827,36.03,Rural,South,15.9129,79.74
Andhra Pradesh,31-05-2020,Monthly,14.46,9526902,38.16,Rural,South,15.9129,79.74
Andhra Pradesh,30-06-2020,Monthly,0.85,15572975,53.76,Rural,South,15.9129,79.74
Andhra Pradesh,31-05-2019,Monthly,6.09,4788661,37.45,Urban,South,15.9129,79.74
Andhra Pradesh,30-06-2019,Monthly,3.8,4824630,36.76,Urban,South,15.9129,79.74
Andhra Pradesh,31-07-2019,Monthly,5.64,4657443,36.1,Urban,South,15.9129,79.74
Andhra Pradesh,31-08-2019,Monthly,4.61,4743179,36.29,Urban,South,15.9129,79.74
Andhra Pradesh,30-09-2019,Monthly,6.01,4733996,36.69,Urban,South,15.9129,79.74
Andhra Pradesh,31-10-2019,Monthly,4.7,4774377,36.41,Urban,South,15.9129,79.74
Andhra Pradesh,30-11-2019,Monthly,7.54,4668772,36.62,Urban,South,15.9129,79.74
Andhra Pradesh,31-12-2019,Monthly,7.88,4913963,38.61,Urban,South,15.9129,79.74
Andhra Pradesh,31-01-2020,Monthly,7.11,4618860,35.91,,South,15.9129,79.74
